user_id,incoming,ground_truth,generated_reply
U01,"Holiiiii, Ne contajiaste el Holiiii",Jajajaja sii el holii es contajiosos jaja,"Jajajajaja, sí, me olvidé"
U01,Waaoooo pense que ibas a dormir,No voy al culto jaja y de ahi a seguir estudiando,"Jajajaja no, no, no!"
U01,"Hoodoo sorry ok., Hola mi preciosa","Hola Pa, Pa estoy con.la.[NAME, 5] en.un concierto cristiano","Haha jajaja, ¡hola mi amor!"
U01,"Gracias a Dios, Todo bien?",Si todo esta bien :) aun no se despierta,"Si, todo bien."
U01,"Hijita  que va a comer, Posiblemente  hoy vaya al [NAME, 5] con el carro","Estoy con la.[NAME, 4] ahi vemos q comemos",Hahahaha! ¡Eso sería una sorpresa!
U01,"[EMO, 15], Jejej, Ni yo, Aver llegaste preciosa",No pare hacer compra para la casa no hay leche te escribo en 5,"Jajajaja, Gracias princesita"
U01,Necesito que me expliques algo  maÂ–ana,Dale.maÂ–ana te explico sabes q no mas hay de deberes,"Ok, cuéntame qué necesitas que explique"
U01,"Dios te bendiga mucho tambien corazon, sabes estoy enfermito no fui a trabajar : ( creo que necesito descanzar y por eso me quede en caza","[NAME, 5] ya nada bueno hermanito que se.mejore","Ay, mi corazón, espero que te mejores pronto. Descansa un poco, pero no te olvides de llamarme cuando puedas."
U01,"Buenas niches, Noches",Que tenga tambien una buena noche.,Haha jajajaja ¿cómo estás?
U01,"Hola esta bien gracias, Como esta todo?",Todo bien nina esta jugando :) ya comio y ya le cambie el paÂ–al,"Hola! Todo bien, gracias. Estoy bien, solo un poco cansado. ¿Y tú?"
U01,"Hola [NAME, 6] perdon se que es tarde, pero no tienes que venir  maÂ–ana. El papa de [NAME, 5]ina le dieron el dÂ’a libre  maÂ–ana.","Sra. [NAME, 4]ÂComo esta? Le dejo saber que ya estoy en camino","No worries, entiendo. Gracias por el aviso, pero espero que [NAME, 5]ina esté bien."
U01,(2/2) icio regular?,Como como,"Hahahaha, no jaja ¡estoy en crisis de cafeína!"
U01,"tanks baby see you tomorrow: )[EMO, 15]","Holi hermanito como esta hoy hay practica? Si si hay le caigo un ratito para sa[NAME, 4]r despues del work :)",:)) see you then
U01,Espero hasta las doce.Contesteme,"[NUMBER, 3] y [PLACE, 5]","Ok, hasta las doce."
U01,"Y ahora????, Yo acabo de despertar, Pero quiero seguir durmiendo pero mi cuerpo ya no quiere estar acostado jajajaja, [NAME, 15]   [NAME, 5] y [NAME, 5] + [NAME, 5]: [WEB, 7]","Jaja que ricoo yo estpy trabajando con mami [NAME, 6] despues le texteo","Jajajaja, me río contigo, despertarse es el peor, ¿qué hora es?"
U01,"Ok compra tu leche mujer[EMO, 14], Comiste preciosa, Estas",Me acavbo de despertar me.quede bieb dormida esque cami tanto y me.muero del hambre,"Haha jajajaja, ¡gracias!"
U01,"Estoy en [PLACE, 6]..sorry no conteste antes se me apago ya casi no tengo bateria, Asta donde vienes","Vengo de [PLACE, 12] de [PLACE, 18]","Haha, no te preocupes, asta donde vienes"
U01,"Si kieres ir con nosotroa tendremos reunion en casa de la hna quircia a las 7:45 estoy en la iglesia, Ok, Iba a pasar a tu caza pero ya no me da tiempo",Que tal les fue?,"No worries, ya entiendo. Mañana nos vemos en la casa de la hna Quiricia a las 7:45, ¡hasta luego!"
U01,oooo my god no es posible...pero el sabado pasado tu no te presentaste talves penso que no venias digo alo mejor nose,Pero yo le.dije q no iba ir y despues llegue a la iglesia y le.volvia reatificar porq no iba hoy me.dijo q nos veamos a la 7:15 y hasta ahorita no viene enserio que estres. Eso me enoja demasiafo que piensa de.la vida y me muero de frio que mal.ya no quiero ir a estas clases enserio o mejor deme usted las clases para no seguir perdiendo el tiempo ahorita estoy que hecjo chispas >:(,"Jajajaja nooooo, ¡eso es mentira!"
U01,"y yo a ti mas [EMO, 6][EMO, 51 descanza  maÂ–ana hablamos , me encanta tu nariz",Jajajajajaja q malo no me haga bullying mejor borre eso,Jajajajaja lol me encanta tu sonrisa
U01,Mi princesita  donde anda.Le llame y no me. Contesta..............,"Hola pa, Estaba en la.iglesia, Y desoues me.dormi hace un rato me.desperte","Holi! Estoy en casa, pero no recibi tu llamada. ¿Qué pasó?"
U01,"Awwww que Linda, Buen dia [NAME, 6] [NAME, 5] llego talde Ayer. Y hoy entreo a trabajar Temprano. Puedes esperar para cobrar el lunes? , Buen dia [NAME, 6] [NAME, 5] llego talde Ayer. Y hoy entreo a trabajar Temprano. Puedes esperar para cobrar el lunes?","Sra. [NAME, 4] Buenos dÂ’asno se preocupe el Lunes cobro.","Muchas gracias, sí, espero para el lunes"
U01,"Donde esta, Que tal las clases",En la casa me fue super bien hay q buscar la camiseta q ya me.pidieron uniforme,"Estoy bien, las clases están siendo largas pero no hay nada nuevo"
U01,Yeah,Eso de ver a donde vamos a ir,Haha jajaja
U01,Como a que hora aras la tarea,"Aun no llego a la casa pero la.hago.rapido, Como en.5 llego a la casa como.y de ahi me.pongo hacer",Mañana a las 3 pm
U01,"Hola [NAME, 6] no tienes que venir  maÂ–ana [NAME, 7] no tiene clase. El viernes tampoco. Pero Jueves puede venir. , Buen dia [NAME, 6] recibiste mi mensaje?","Hola sra.[NAME, 4] lo acabo de.ver gracias por avisarme","Hola! Sí, recibí! Gracias por informarme. Jueves sí, puede venir!"
U01,"yo voy, Jajajajaja","Hermano vamos juntos a la iglesia, ??",Me alegra muchisimo
U01,Me enojare contigo si no comes,Oooh que liindo porq te preocupas ahorita mi tia esta coconando,Ay ay ay no te enojes porfavor
U01,4carreras[WEB]o le va mi princesita,Bien pa gracias a Dios pa te deseo o mejor yo confio en ti y se que vas a.poder ponte las pilas. Voy a ver si me.inscribo al gym,Jajaja gracias!
U01,"Esta bien preguntele a mi hijo, Porfavor, Todo bien ?","Si todo ya esta bien estÂ‡ jugando [NAME, 4]...... su hijo me ayudo a cambiarla","Si, ya hablé con él, todo bien."
U01,te sobo?,Necesito un buen spa jajaja vamos a uno :) ciando me pague ahi vamos jajaja,"Sí, estoy bien gracias."
U01,princes,"Hermano active el whats lo quiero mucho duerma bien. Dios le bendiga [EMO, 51][EMO, 1][EMO, 15][EMO, 12][EMO, 7][EMO, 7][EMO, 51[EMO, 39][EMO, 51][EMO, 92][EMO, 151][EMO, 39][EMO, 15][EMO, 73]",M' amor
U01,Esta con tos?,Un poquito casi nada,"No, no tengo tos, estoy bien, gracias"
U01,Vaya a dormir.Mi DIOS  le bendiga,Si pa que Duos te bendiga tambien,A Dios tambiÃn
U01,"me tienes en el olvido aaaaaa[EMO, 30][EMO, 30][EMO, 51]",Holii estoy trabajando y me mata la espalda,Jajaja noooo ¿qué dices?
U01,Igual,"Jejeje  maÂ–ana va a ser genial, Nunca hicimos.lo que dijimos",Jajajaja
U03,Si,Si que,Y como te va en todo
U03,Igual me le das saludo a maa,"Yo no estoy en la casa, Estoy donde tÂ’a","Hola, igual te doy, ¿cómo estás?"
U03,Sii,Oye te habÂ’ orita que este cel se esta apagando y no tengo cargador donde estoy,"Y qué pasa, amigo?"
U03,Un poco ni mucho,Okay,Pero k es lo mio
U03,Si,"Ya, Bueno manito te habÂ’  maÂ–ana dejame baÂ–arme pa acostarme bye cuidate y duerme bien",Y como te va en todo
U03,<Archivo omitido>,"Estas loco Papi te matara, Pero okay no se lo enseÂ–arÂŽ","Qué pasa, ¿qué necesitas?"
U03,Yo tambien more,Klk more como estas,Yo tambien k hago
U09,Work,"Ok, Hi, Hi ure you",Ok
U09,Estoy en la bodega,"Toy aquÂ’ ya, Ok boy paya esp?rame ahora, Esp?rame hay","Ok, ¿qué necesitas?"
U09,"You no want to see me, You no want gift",What,"No, I do not want to see you, No, I do not want gift"
U09,"I want to give you something, Let me see you",I can not because I have class tomorrow,"Ok, I'm at my house, come over"
U09,Mas tarde,Boy aquÂ’dame,"Ok, ¡hasta luego!"
U09,Jajaja,"Tu vera, U?ya",Jajaja
U09,I want to see you now I'm still working,Ok,"Ok, I'll come later"
U09,"You home, Qu? est?s haciendo, puedo llamar, You no call, Good morning",Hi,"Hola, no estoy en casa, estoy en el trabajo, sí puedes llamarme, gracias, ¡Buenos días!"
U09,2:15 is good,No a worlk to long,"Ok, 2:30"
U09,He estado pensando en ti,"Que bien eso, Y que ase",¿En qué?
U09,Ah ok,Tu vera,"Ok, que pasó"
U09,Can i see you,Yes late,"Si, mañana en el parque"
U09,"Hello, Can I call u",In minuto,"Ok, call me later"
U09,Cuando tu. Esta libre,"Ma?[NAME, 3] pero de verdad me lo van a compre , Compra","Ahora, En el parque"
U09,"When you come back babe, Answer me, You take Tim",Hi,"Ok, I'll be back soon, You know where I'll be"
U09,I'd rather see u in house r u alone,what happens is that I'm not alone at home meant,"No, I'm not alone"
U09,Be there 5 minutes,Ok,"Ok, pronto"
U09,"Y cuando te puedo compral el vuelo, ?, ?, ?",No gracias ya yo no voy olvida eso,"Pronto, El próximo fin de semana, ¡Voy a ver!"
U09,How r u,Good end you,"Estoy bien, gracias"
U09,Hey I want to see you today in th night,"No because I still en [PLACE, 10]","Ok, Tonight at 10 pm at my place"
U09,Ok I want to see you in shower,Meybe,"No ok, no way"
U09,Y donde Esque tu estas loca jajaja,"aquÂ’ ya, En la bodega","En la tienda 99, esperando para ti"
U09,usted es una mujer muy hermosa,Gracias y tu tan bien ere in hombre lindos y tiene esposa,"Gracias, Eres muy amable"
U09,How are u,Good end you,"Bien, I'm good, thanks"
U09,In shower,No besucase My brother is Hi,Ok
U09,Are you up,Im good,"Sí, estoy bien, gracias"
U09,How r u,"In My home, Endulza, End you, Hey ure you doing","I'm good, gracias"
U09,"Ma?na, Te puedo ver ?, Baby","No se, No es seguro","Si, esta noche, En mi casa"
U09,"Ok but I love you, Why you don't love me",No,"No, No, No, Why you say that?"
U09,How are you,In work end you,"Estoy bien, gracias."
U09,Ok I'm very happy I meet you,Ok,"Me too, Me too happy too"
U09,"Yeah babe I miss u, Hey",Ok,"Yo, Miss u too, Hey"
U09,No quiero esperar puedo verte antes,"No puedos porque hoy trabajo y ma?[NAME, 3] tan bn , Y en Domingo puedos porque entro a trabajar ala 4:00 pm","Ok, en la plaza del centro"
U09,What time do you finish work,Ringth now,I finish at 6 pm
U09,Ok we can see 1:50 pm if you want,"No because, Still","Ok, I'll be there at 1:50"
U09,Me dejaron sola hoy,Nadie fue hoy,"Eso es triste, ¿qué pasó?"
U09,"Me too I work in [PLACE, 8], Can I see u before u star working",Ok can end mc Donald's,"Ok, where u want me to meet u"
U09,Are you in work,No in my home because 4:00 pm I'm work,"No, I'm not"
U09,?llegaste a trabajar ok,Si y tu que ase,"Sí, ya llegué."
U09,Entonces no digas que no faltaras mas buena loca ?,[IMAGE],"No, solo no, ¡ya!"
U09,"What time?, Hey, Klk","Km2, ??","Hey, I just got out of work, now"
U09,"By stored, sent me more pictures",Ok,"Ok, estoy enviando más fotos"
U09,"[NAME, 4]",Ok nice,"Hola, ¿qué pasa?"
U11,Q  class tienes ahora,"Con [NAME, 5]",Una en la escuela
U11,La miaaa,"Aaaaaaa, Que bien, Baby","Jajaja, no te ríes así que te duermo"
U11,?,????hermosa como tu,¿Qué?
U11,Ok hay ablamos,"Ok esta bien pues cuidate chida ala bb ok, ?, ??, ?, ?","Ok, mañana"
U11,Ya salieron,No,"Ok, ya sabía"
U11,Siiii,Jajajajaja ?,¡Haha!
U11,Tu culo,????,¿Por qué?
U11,Al parke,Horale tu si sales,Voy a ir a ver si el coche está allí
U11,"Estaba durmiendo, Heyyy",Todav?a,¿Qué pasó?
U11,Me esperas va,"A que horas, Vas a salir, Tu",En un rato
U11,"Pues ?te cuento quiero terminar hoy, Mi proyecto","Pues echale muchos ganas, Cual es tu nombre, Completo","Ok, necesito terminarlo pronto"
U11,Vamos a ir o no?,"A donde ??, Seme olvido en serio","Sí, creo que sí"
U11,Burro,"Lose, Bb, Ahora no puedo hablar., Buenos dÂ’as, ?Hola? ojitos ?hermosos ??buenos? dÂ’as?","Haha, ¡qué barbaridad!"
U11,"No lo aw, Se, Asi lo puse, Porq no se",No que esta mal,"No, no, no, ¡eso es una barbaridad!"
U11,Ok,Ok,¿Qué?
U11,"As? q dedo quieres q me chupe, ??",Ninguno por que te estoy diciendo la verdad apenas despert?,"No, no, no, no, no, ¡no me jodas!"
U11,"Ven a la
[PLACE, 12] con Zen[NAME, 4]","Ella va air, Aya",¿Qué hora es?
U11,Y xq?,Estornudastes cuando av?a pasado,"Nada, solo estoy pensando en ti"
U11,"En [PLACE, 10] , En la [PLACE, 3], Del tren C","Asu esta un poco lejos de [PLACE, 6]",¿Qué hora es?
U11,"Como as?, Weyyyy, ??","No hay problema, Tu ni me extra?as, ??Hola hola ?? que tengas? un bonito? d?a?te mando un besito?","Hola, estoy bien, ¿y tú?"
U11,"??, ??, ??, No",No que,¿Qué pasó?
U11,"?Esto, ?ya lo ise",Por que dice poyecto,"En realidad, no, no lo hice"
U11,A las 2,"Ok te espero, Oyes vane yo para que te estoy esperando, ?",Ok
U12,"Puedes venir abriendo me la puerta porfa, [NAME, 6] q haces, Como estas","Ps aki todo mal, Jajajajajadigo todo bien, Jijiji, Bien bien, Y tÂ’ donde estas","Aki en la casa por que broo, Y como estoy muy bien, Mira, la vida es una lucha, pero te amo mucho, mi [NAME, 6]....:'(:'(, Cuidate, mi amor."
U12,Hola como estas,Hola linda bien mi chiquita y tu.,"Hola mami, Como estas mi chiquita, Maaaaammmmmiiiiiii, Teeeee qqqqquuuuiiiiieeeerrrrooooo. mucho mi Bioleta hermosa., Te amo mi corazÃ—n., Hola mami, Hola amor feliz tarde tkm mi [NAME, 4]."
U12,"El numero [NUMBER, 12] ha intentado comunicarse contigo, pero su saldo es insuficiente. Te sugerimos que le llames de vuelta o le envies una recarga a su Tigo, El numero [NUMBER, 12] ha intentado comunicarse contigo, pero su saldo es insuficiente. Te sugerimos que le llames de vuelta o le envies una recarga a su Tigo",Lo siento. Se termino mi saldo flz nxe.   :-),"Que PASÃ§ mi chiquita por que ya no me contestaste linda bueno feliz noche mi amor te amo mucho mi [NAME, 4].....:'(:'(, Hola mami feliz tarde mi amor te amo mucho mi [NAME, 4] te quiero tanto nn. Cuidate mi amor."
U12,"Ok porfa ya te avise no quiero rumors sale, De q  no tienes nada",No no te preocupa ahÂ’ lo veo sale :-),"Waaaahhh nooo nooo nooo noooo noooo, Eyyy no me hagas eso, Q q q q q q noooo, Eyyy no me hagas eso, Noooo noooo noooo noooo noooo, Te amo te amo mucho, Eyyy no me hagas eso."
U12,"x me ba  contar, puesi fer, feliz tarde para ti fer",O entonces el te contÂ’ q ya tiene novia mmm ps q mal de verdad por que un chavo asi solo querÂ’a aaprovechar. De un chica ps para mi es muy mal yo por mi parte no le darÂ’a mi espalda a la persona que le dije te amo ps por ejemplo yo si de verdad la Amo con toda mi alma tu tÂ’a pero aver ella que me va a decir.   Pero bn tu tranquilizate si tu de verdad lo amaste el que se arrepinta algÂ’n dÂ’a es el animo sii...,"Hahahaha, que divertido, espero q tengas un buen dia, te quiero mucho, mi [NAME, 4]...:'(:'(, Cuidate, mami."
U12,Porque mucha risa,"Apurate wey, APURATE WEY","Hahahaha, ¡eso es porque estoy reía con tu vida, chiquita!"
U12,"Temprano, Ya boy a llegar","Ooo ok solo que la tÂ’o te dejÂ’ preparado la cena., Digo la tÂ’a","Ooo ok, Eyyy manito q hora vas a llegar dice la t'a."
U12,No esq estoy trabajando lo siento,"Ooo yo pensÂŽ, q es asi mi princesa, mmm cuidate, mi amor te amo te amo mucho. , Tkm? Mucho mi vida hablamos en la tarde mi chiquita hermosa flz trd amor.","Ay caramba, ¿por qué no me respondiste? ¿Qué pasó? ¿Por qué no me llamaste? ¿Estás bien, chiquita?"
U12,La evelyn,Ooo okey me mandas el nÂœmero heee,"Haha, mami, ¿qué pasó? ¿Por qué no me contestaste? ¿Y qué hace tu hermano?"
U12,"Porq, No jodas",Jajajajaja,"Hahahahaha, No jodas ¿q?"
U12,Solo q estaba un poco ocupado,Sii okey,"Eyyy nooo, Q pasÃ§o, Ã‰l tÃ³ es un poco lento, Haha, Okay, Okay, Q vÃ¡is, VÃ¡is, No me importa, MÃ­ amor, Te amo mucho, [NAME, 4]."
U12,"El numero [NUMBER, 12] ha intentado comunicarse contigo, pero su saldo es insuficiente. Te sugerimos que le llames de vuelta o le envies una recarga a su Tigo","Cada noche sueÂ–o contigo, contigo,...... se que aun existe amor siempre en la distancia podemos amarnos sigues en mas sueÂ–os amor.   tu....... yo...... eterna pasiÂ’n siempre habrÂ’Â la esperanza amor si..... vez....... en donde tu estes yo te llevÂ’ en el alma..... mi alma te Seguira el amor nos llega y nunca nos deja...... sigue siendo luz en mi ser no podre olvidarte dejar de amarte siempre extraÂ–are tu querer... mi vida te amo mucho mi [NAME, 4] feliz noche mami te quiero mucho mi corazÂ—n. Att tu amor invisible. F., Si quizÂ’Â algun dÂ’a tratas de regresar comigo amor yo siempre estare con mas brazos abiertos y que ahÂ’ te cuidas mucho amorcita mi mami te amo. Te quiero tanto nena te amo mucho hermosa y muy preciosa linda guapÂ’sima mi reina mi bella mi cielo mi estrella mi luna mi miel mi bom bom. Carita de [NAME, 5] duerme con amor y cariÂ–o que te desea tu amor que te quiere mucho con todo su alma espero que yo no soy el amor de tu vida que perdiste para siempre y duerme amor .:'(:'(:'(:'(  , Amor yo te amo mi vida yo te amo mmmmm :'(:'(:'(:'(:'(:'(:'(:'(:'(:'(, Linda x que me dejaste mi amor te extraÂ–o mucho mami yo te amo te quiero tanto amor., Mami te amo no puedo dormir pensando mucho que ago para que nuestro amor no terminarÂ’Â yo te amo nena te quiero tanto mami x Dios mi [NAME, 4].flz noche amorcita linda., Amor te amo princesa te quiero tanto mami neta mi [NAME, 4] yo quiero que seguimos mami no vamos a terminar si mi chiquita porfa mi [NAME, 4] te lo pido con un gran amor que siento x ti mami flz maÂ–anita mi amor de mi alma. Te amo nena., Hola mami como estas mi princesa espero que estas bien hermosa cuidate mami te amo linda. Flz dÂ’a. Ok chiquita bay bay nena., Mami te amo mucho mucho mi chiquita si me crees mami tratamos de tener otro oportunidad de luchar otra vez por nuestro amor mi chiquita. Porfavor mi [NAME, 4]. , Flz nxe amor te amo mucho. Dulce sueÂ–o., Hola mi chiquita hermosa como estas nena espero que estas bn mami cuidate si preciosa.TKM? MÂ’  [NAME, 4] feliz dia. Mami. , Hola preciosa flz dÂ’a nena TKM? [NAME, 4] cuidate hermosa.. eres mi [EMO, 116][EMO, 116][EMO, 116][EMO, 116][EMO, 116][EMO, 116]., Hola mi princesa qtl mami cuidate amor te amo chiquita. Feliz dÂ’a mi [NAME, 4] te quiero mucho.mami. , Hola mi princesa como estas mami amor yo te amo tanto nena flz tardesito mami te quiero mucho linda., AMOR DEBERÂ’S MI [NAME, 4] NO TE IMAGINAS LO MUCHO Q YO TE QUIERO QUE YO TE AMO CON TODO MI ALMA MAMI SI NO ME CREES PERO ALGÂ’N DÂ’ÂA LO BAS A CREER CHIQUITA TE LO JURO MAMI SOLO ATI TE E AMADO LINDA CHIQUITA CUIDATE AMOR TE QUIERO FLZ DÂ’ÂA MI AMOR........, Te amo chiquita flz trd mami te quiero mucho mi amorcita [NAME, 4]. , Hola mami puedo llamarte mi amor si puedo intenta llamarme mi chiquita si mi [NAME, 4] te amo preciosa., Hola nena, Hola princesa, Dime siiiiii chiquita., Buenos dÂ’a preciosa te quiero mucho nena cuidate linda la amo mucho mi [NAME, 4]., Hola chiquita flz tardesito TKM? nena., Flz nxe hermosa te amo mucho nena te quiero tanto mi [NAME, 4] dulce sueÂ–o chiquita. , Amor chiquita [NAME, 4] entiendame nena yo te extraÂ–o mucho yooo te amo te necesito mi amor. , Ahora me duele mucho el corazÂ—n mami por q estoy muy triste x ti por q me dijiste q me dejes  preciosa. Nenas te amo., Hola mami como estas preciosa., Q ases linda, Hola preciosa flz dÂ’a chiquita te quiero mucho nena cuidate linda tm mi [NAME, 4]., Hola princesa como estas linda espero que estas bien mami., Te quiero con todo mi alma mi [NAME, 4] cuidate mucho nena., Flz nxe chiquita preciosa te quiero mucho nena dulce sueÂ–o [NAME, 4].... bay bay.   Mi chiquita hermosa.  Tm?., Hola chiquita cuidate mucho linda te amo.","Que PASÃ§ mi chiquita por que ya no me contestaste linda bueno feliz noche mi amor te amo mucho mi [NAME, 4].....:'(:'(, Hola mami feliz tarde mi amor te amo mucho mi [NAME, 4] te quiero tanto nn. Cuidate mi amor., Mami Hola mi amor., Como estas mi chiquita, Maaaaammmmmiiiiiii, Teeeee qqqqquuuuiiiiieeeerrrrooooo.   mucho mi Bioleta hermosa., Te amo mi corazÃ—n., Hola mami, Hola"
